Test Time,Storage Modulus,Loss Modulus
-39.64,0.3003475021908031,3.076500840799181
-37.39,1.496280940307841,3.0882922415630714
-35.14,2.6922143784248824,3.1000836423269615
-32.89,3.8881478165419203,3.1118750430908513
-30.64,5.084081254658958,3.1236664438547415
-28.39,6.280014692776,3.1354578446186316
-26.14,7.475948130893039,3.147249245382522
-23.89,8.671881569010077,3.1590406461464116
-21.64,9.867815007127117,3.1708320469103017
-19.39,11.063748445244157,3.182623447674192
-17.14,12.259681883361196,3.194414848438082
-14.89,13.455615321478234,3.206206249201972
-12.64,14.651548759595276,3.217997649965862
-10.39,15.847482197712313,3.229789050729752
-8.14,17.043415635829355,3.241580451493642
-5.890000000000001,18.239349073946393,3.253371852257532
-3.6400000000000006,19.43528251206343,3.2651632530214223
-1.3900000000000006,20.631215950180472,3.2769546537853125
0.8599999999999994,21.82714938829751,3.288746054549202
3.1099999999999994,23.02308282641455,3.3005374553130924
5.359999999999999,24.21901626453159,3.3123288560769826
7.609999999999999,25.414949702648627,3.3241202568408728
9.86,26.61088314076567,3.3359116576047625
12.11,27.806816578882707,3.3477030583686527
14.36,29.002750016999748,3.359494459132543
16.61,30.198683455116786,3.371285859896433
18.86,31.394616893233824,3.3830772606603228
21.11,32.59055033135087,3.394868661424213
23.36,33.78648376946791,3.406660062188103
25.61,34.982417207584945,3.4184514629519933
27.86,36.17835064570198,3.430242863715883
30.11,37.37428408381902,3.4420342644797732
32.36,38.57021752193606,3.4538256652436634
34.61,39.766150960053096,3.4656170660075536
36.86,40.96208439817014,3.4774084667714433
39.11,42.15801783628718,3.4891998675353335
41.36,43.353951274404224,3.5009912682992237
43.61,44.54988471252126,3.512782669063114
45.86,45.7458181506383,3.5245740698270036
48.11,46.94175158875534,3.536365470590894
50.36,47.631,3.452
80.36,64.159,3.7148
110.4,80.718,3.993
140.4,96.462,4.1161
170.4,111.24,4.0377
200.4,125.25,4.6025
230.4,138.85,4.5538
260.4,151.14,4.7711
290.4,163.58,4.2853
320.4,174.04,5.0452
350.4,183.57,4.9211
380.4,194.49,5.1057
410.4,203.5,5.2106
440.4,211.94,5.2508
470.4,219.93,5.3348
500.4,227.43,5.418
530.4,234.23,5.4816
560.4,240.95,5.5634
590.4,247.22,5.6133
620.4,253.12,5.7281
650.4,258.76,5.7296
680.4,264.11,5.7904
710.4,269.02,5.788
740.4,273.84,5.8624
770.4,278.47,5.9181
800.4,282.87,5.8871
830.4,286.33,5.9552
860.4,290.3,6.0003
890.4,294.01,6.0634
920.4,297.48,6.1112
950.4,300.59,6.1231
980.4,303.8,6.1636
1010.0,306.91,6.1982
1040.0,309.97,6.2523
1070.0,312.65,6.2313
1100.0,315.41,6.3003
1130.0,318.0,6.364
1160.0,320.5,6.3431
1190.0,322.89,6.3625
1220.0,325.16,6.4088
1250.0,327.36,6.3737
1280.0,329.69,6.3996
1310.0,331.51,6.4138
1340.0,333.57,6.5078
1370.0,335.66,6.4888
1400.0,337.55,6.5427
1430.0,339.1,6.4991
1460.0,340.84,6.6092
1490.0,341.5,6.605
1520.0,342.6,6.5805
1550.0,344.21,6.6385
1580.0,345.51,6.659
1610.0,347.09,6.6966
1640.0,348.49,6.6974
1670.0,349.87,6.6821
1700.0,351.35,6.7104
1730.0,352.57,6.7542
1760.0,353.79,6.8203
1790.0,354.41,6.7544
1820.0,354.93,6.8225
1850.0,354.75,6.8163
1880.0,354.59,6.7916
1910.0,355.24,6.8712
1940.0,355.99,6.8808
1970.0,356.17,6.8788
2000.0,357.22,6.8841
2030.0,357.8,6.9213
2060.0,358.11,6.9407
2090.0,358.6,6.8934
2120.0,359.24,6.9643
2150.0,359.87,6.9924
2180.0,360.28,7.0074
2210.0,359.42,7.0029
2240.0,360.01,7.0448
2270.0,360.58,7.1293
2300.0,360.94,7.0942
2330.0,361.18,7.0582
2360.0,361.86,7.0517
2390.0,362.52,7.1021
2420.0,362.97,7.1415
2450.0,363.58,7.132
2480.0,364.25,7.1511
2510.0,364.78,7.2337
2540.0,365.38,7.1608
2570.0,365.3,7.2192
2600.0,365.36,7.2379
2630.0,365.51,7.3296
2660.0,366.02,7.3192
2690.0,366.51,7.3263
2720.0,367.15,7.3537
2750.0,367.33,7.4063
2780.0,367.83,7.4829
2810.0,368.21,7.4642
2840.0,368.64,7.5156
2870.0,369.01,7.6139
2900.0,367.13,7.6498
2930.0,367.35,7.6918
2960.0,366.81,7.6484
2990.0,367.17,7.7269
3020.0,367.27,7.797
3050.0,367.55,7.8483
3080.0,367.15,7.8712
3110.0,367.65,7.9733
3140.0,367.63,8.0034
3170.0,368.22,8.0242
3200.0,368.5,8.147
3230.0,370.9,4.2597
3260.0,368.18,8.3582
3290.0,368.08,8.3835
3320.0,368.34,8.553
3350.0,368.52,8.4626
3380.0,368.6,8.605
3410.0,368.84,8.6758
3440.0,368.75,8.7922
3470.0,368.66,8.8379
3500.0,368.96,8.8129
3530.0,369.21,9.1867
3560.0,369.16,9.2106
