Test Time,Storage Modulus,Loss Modulus
0.0,5.653183064456706e-06,0.1130114601735289
2.25,5.64755464307929e-06,0.11290007690493373
4.5,5.641926221701874e-06,0.11278869363633857
6.75,5.636297800324459e-06,0.11267731036774341
9.0,5.630669378947043e-06,0.11256592709914824
11.25,5.625040957569627e-06,0.11245454383055307
13.5,5.619412536192211e-06,0.11234316056195791
15.75,5.613784114814795e-06,0.11223177729336274
18.0,5.608155693437379e-06,0.11212039402476758
20.25,5.602527272059963e-06,0.11200901075617241
22.5,5.596898850682547e-06,0.11189762748757726
24.75,5.591270429305131e-06,0.11178624421898209
27.0,5.585642007927715e-06,0.11167486095038692
29.25,5.580013586550299e-06,0.11156347768179176
31.5,5.5743851651728835e-06,0.11145209441319659
33.75,5.5687567437954675e-06,0.11134071114460142
36.0,5.563128322418052e-06,0.11122932787600626
38.25,5.557499901040636e-06,0.11111794460741109
40.5,5.55187147966322e-06,0.11100656133881594
42.75,5.546243058285805e-06,0.11089517807022077
45.0,5.540614636908389e-06,0.1107837948016256
47.25,5.534986215530973e-06,0.11067241153303044
49.5,5.529357794153557e-06,0.11056102826443527
51.75,5.523729372776141e-06,0.1104496449958401
54.0,5.518100951398725e-06,0.11033826172724494
56.25,5.512472530021309e-06,0.11022687845864977
58.5,5.506844108643893e-06,0.11011549519005462
60.75,5.501215687266477e-06,0.11000411192145945
63.0,5.495587265889061e-06,0.10989272865286429
65.25,5.489958844511645e-06,0.10978134538426912
67.5,5.484330423134229e-06,0.10966996211567395
69.75,5.4787020017568135e-06,0.10955857884707879
72.0,5.4730735803793975e-06,0.10944719557848362
74.25,5.467445159001982e-06,0.10933581230988845
76.5,5.461816737624566e-06,0.1092244290412933
78.75,5.456188316247151e-06,0.10911304577269813
81.0,5.450559894869735e-06,0.10900166250410297
83.25,5.444931473492319e-06,0.1088902792355078
85.5,5.439303052114903e-06,0.10877889596691263
87.75,5.433674630737487e-06,0.10866751269831747
90.0,5.23e-06,0.1046
120.0,5.32e-06,0.10638
150.0,5.67e-06,0.11349
180.0,5.31e-06,0.10619
210.0,4.86e-06,0.097274
240.0,5.35e-06,0.107
270.0,4.85e-06,0.096925
300.0,0.0037724,0.034913
330.0,7.14e-06,0.14288
360.0,5.12e-06,0.10241
390.0,5.91e-06,0.11828
420.0,5.35e-06,0.10692
450.0,5.83e-06,0.11661
480.0,4.83e-06,0.096577
510.0,5.54e-06,0.11088
540.0,4.17e-06,0.083311
570.0,5.25e-06,0.10497
600.0,4.57e-06,0.09138
630.0,4.95e-06,0.098992
660.0,4.98e-06,0.099507
690.0,4.04e-06,0.08088
720.0,4.45e-06,0.088946
750.0,5.43e-06,0.10863
780.0,5.26e-06,0.10522
810.0,4.47e-06,0.08935
840.0,5.31e-06,0.10613
870.0,4.8e-06,0.095918
900.0,4.59e-06,0.091748
930.0,0.00060017,0.084167
960.0,4.87e-06,0.097496
990.0,5.03e-06,0.10062
1020.0,5.94e-06,0.11878
1050.0,4.25e-06,0.085036
1080.0,4.63e-06,0.092645
1110.0,4.92e-06,0.098474
1140.0,4.42e-06,0.088304
1170.0,4.77e-06,0.095338
1200.0,5.89e-06,0.11786
1230.0,5.05e-06,0.10091
1260.0,4.31e-06,0.086252
1290.0,0.0096684,0.093916
1320.0,4.35e-06,0.08708
1350.0,4.52e-06,0.090412
1380.0,0.0027396,0.098504
1410.0,4.61e-06,0.092182
1440.0,0.00283,0.092152
1470.0,0.0095493,0.086565
1500.0,0.0042796,0.090749
1530.0,4.19e-06,0.083807
1560.0,4.77e-06,0.095464
1590.0,4.84e-06,0.096764
1620.0,4.68e-06,0.093648
1650.0,4.88e-06,0.097691
1680.0,4.54e-06,0.090716
1710.0,4.78e-06,0.095552
1740.0,4.54e-06,0.090769
1770.0,3.98e-06,0.079551
1800.0,0.0040078,0.093695
1830.0,4.83e-06,0.096558
1860.0,4.48e-06,0.089594
1890.0,4.6e-06,0.091953
1920.0,4.66e-06,0.093129
1950.0,0.0018728,0.098277
1980.0,4.27e-06,0.085446
2010.0,4.67e-06,0.0933
2040.0,0.0075839,0.10663
2070.0,4.57e-06,0.091489
2100.0,4.14e-06,0.08273
2130.0,4.73e-06,0.094649
2160.0,5.03e-06,0.1006
2190.0,0.0043147,0.099134
2220.0,4.55e-06,0.091024
2250.0,5.49e-06,0.10979
2280.0,4.88e-06,0.097566
2310.0,4.63e-06,0.092682
2340.0,4.59e-06,0.091769
2370.0,4.55e-06,0.090903
2400.0,0.0064166,0.080007
2430.0,0.0017711,0.10485
2460.0,5.16e-06,0.10327
2490.0,3.72e-06,0.074489
2520.0,4.39e-06,0.087748
2550.0,0.0020343,0.084031
2580.0,4.57e-06,0.09132
2610.0,4.61e-06,0.092156
2640.0,0.0078698,0.10391
2670.0,4.56e-06,0.091226
2700.0,5.15e-06,0.10298
2730.0,0.0052233,0.094291
2760.0,4.31e-06,0.086159
2790.0,0.0085996,0.10661
2820.0,4.59e-06,0.091797
2850.0,0.0045177,0.095223
2880.0,5.22e-06,0.10439
2910.0,4.75e-06,0.095097
2940.0,0.0078096,0.094447
2970.0,4.46e-06,0.089292
3000.0,4.81e-06,0.096129
3030.0,0.0090093,0.089927
3060.0,4.75e-06,0.095087
3090.0,5.08e-06,0.10156
3120.0,0.0065079,0.093876
3150.0,4.83e-06,0.096614
3180.0,0.011587,0.1053
3210.0,0.024029,0.10508
3240.0,0.0188,0.081449
3270.0,0.018724,0.097609
3300.0,0.016462,0.094474
3330.0,0.024893,0.099781
3360.0,0.022015,0.10377
3390.0,0.030202,0.095647
3420.0,0.023596,0.089462
3450.0,0.029325,0.09232
3480.0,0.023656,0.092074
3510.0,0.034711,0.095778
3540.0,0.037805,0.086882
3570.0,0.038324,0.094774
3600.0,0.042043,0.098784
3630.0,0.035352,0.10646
3660.0,0.048572,0.094581
