Test Time,Storage Modulus,Loss Modulus
0.0,0.014438199999999969,0.47403200000000006
2.25,0.01589205999999997,0.47605070000000005
4.5,0.01734591999999997,0.47806940000000003
6.75,0.018799779999999967,0.4800881000000001
9.0,0.02025363999999997,0.48210680000000006
11.25,0.02170749999999997,0.48412550000000004
13.5,0.02316135999999997,0.4861442
15.75,0.024615219999999972,0.48816290000000007
18.0,0.02606907999999997,0.49018160000000005
20.25,0.02752293999999997,0.49220030000000004
22.5,0.028976799999999973,0.4942190000000001
24.75,0.03043065999999997,0.49623770000000006
27.0,0.03188451999999997,0.49825640000000004
29.25,0.03333837999999997,0.5002751000000001
31.5,0.034792239999999974,0.5022938
33.75,0.036246099999999976,0.5043125
36.0,0.03769995999999998,0.5063312000000001
38.25,0.03915381999999997,0.5083499
40.5,0.04060767999999997,0.5103686000000001
42.75,0.042061539999999974,0.5123873000000001
45.0,0.043515399999999975,0.514406
47.25,0.044969259999999976,0.5164247000000001
49.5,0.04642311999999998,0.5184434
51.75,0.04787697999999997,0.5204621
54.0,0.04933083999999997,0.5224808000000001
56.25,0.050784699999999974,0.5244995
58.5,0.052238559999999976,0.5265182
60.75,0.05369241999999998,0.5285369000000001
63.0,0.05514627999999998,0.5305556
65.25,0.05660013999999998,0.5325743000000001
67.5,0.058053999999999974,0.5345930000000001
69.75,0.059507859999999975,0.5366117
72.0,0.060961719999999976,0.5386304000000001
74.25,0.06241557999999998,0.5406491
76.5,0.06386943999999997,0.5426678
78.75,0.06532329999999997,0.5446865000000001
81.0,0.06677715999999997,0.5467052
83.25,0.06823101999999998,0.5487239
85.5,0.06968487999999998,0.5507426000000001
87.75,0.07113873999999998,0.5527613
90.0,0.074081,0.54229
120.0,0.10275,0.58849
150.0,0.10545,0.61157
180.0,0.1043,0.65919
210.0,0.17023,0.64152
240.0,0.14534,0.71745
270.0,0.14236,0.74226
300.0,0.16696,0.77609
330.0,0.18833,0.8228
360.0,0.18446,0.87699
390.0,0.27595,0.92524
420.0,0.26308,1.0089
450.0,0.32424,1.082
480.0,0.38038,1.1586
510.0,0.47405,1.283
540.0,0.61988,1.4732
570.0,0.74141,1.5689
600.0,0.96249,1.805
630.0,1.2756,2.0349
660.0,1.6856,2.3732
690.0,2.2576,2.7791
720.0,3.0765,3.2908
750.0,4.2537,3.9731
780.0,5.9498,4.8469
810.0,8.3335,5.9649
840.0,11.822,7.4551
870.0,16.699,9.4079
900.0,23.337,11.884
930.0,32.038,15.144
960.0,43.011,19.475
990.0,56.355,25.312
1020.0,74.838,36.783
1050.0,100.59,59.128
1080.0,145.77,112.19
1110.0,247.94,224.87
1140.0,423.31,376.65
1170.0,681.02,551.62
1200.0,1030.3,732.97
1230.0,1416.3,895.15
1260.0,1657.8,973.11
1290.0,1945.9,1040.0
1320.0,2145.5,1084.4
1350.0,2376.6,1138.5
1380.0,2653.8,1202.3
1410.0,2927.2,1274.9
1440.0,3184.2,1332.8
1470.0,3405.2,1376.1
1500.0,3671.8,1432.9
1530.0,3950.4,1494.2
1560.0,4161.4,1530.5
1590.0,4374.3,1582.3
1620.0,4615.2,1638.0
1650.0,4835.6,1694.6
1680.0,5041.7,1751.6
1710.0,5248.3,1813.6
1740.0,5442.6,1871.0
1770.0,5599.7,1912.7
1800.0,5801.7,1959.2
1830.0,5955.5,1994.9
1860.0,6110.4,2043.9
1890.0,6284.1,2091.0
1920.0,6485.1,2144.9
1950.0,6677.9,2193.6
1980.0,6807.8,2230.4
2010.0,6940.3,2262.2
2040.0,7169.3,2329.4
2070.0,7280.7,2354.0
2100.0,7440.8,2396.5
2130.0,7592.3,2448.4
2160.0,7722.7,2485.6
2190.0,7924.6,2530.5
2220.0,8067.0,2577.3
2250.0,8265.2,2629.4
2280.0,8434.7,2677.9
2310.0,8567.9,2716.9
2340.0,8740.9,2760.4
2370.0,8860.9,2790.5
2400.0,9030.9,2841.6
2430.0,9183.5,2868.5
2460.0,9339.3,2900.8
2490.0,9432.2,2920.9
2520.0,9606.1,2948.9
2550.0,9694.1,2962.5
2580.0,9968.8,3020.3
2610.0,10062.0,3037.8
2640.0,10171.0,3053.4
2670.0,10433.0,3113.5
2700.0,10565.0,3140.7
2730.0,10797.0,3195.5
2760.0,10973.0,3226.3
2790.0,11164.0,3268.2
2820.0,11387.0,3304.8
2850.0,11635.0,3352.7
2880.0,11765.0,3365.4
2910.0,11976.0,3401.3
2940.0,12244.0,3442.5
2970.0,12375.0,3455.4
3000.0,12510.0,3482.1
3030.0,12815.0,3520.6
3060.0,12882.0,3526.7
3090.0,12919.0,3530.8
3120.0,13276.0,3601.2
3150.0,13487.0,3628.2
3180.0,13788.0,3671.6
3210.0,13902.0,3684.1
3240.0,13777.0,3665.4
3270.0,13918.0,3708.2
3300.0,14129.0,3735.8
3330.0,14194.0,3759.1
3360.0,14537.0,3813.5
3390.0,14679.0,3839.1
3420.0,14736.0,3850.8
3450.0,15082.0,3900.0
3480.0,15312.0,3939.4
3510.0,15464.0,3962.8
3540.0,16003.0,4038.7
3570.0,16429.0,4097.8
3600.0,16820.0,4146.0
3630.0,17236.0,4200.5
3660.0,17484.0,4222.8
