Test Time,Storage Modulus,Loss Modulus
0.0,1.4529827833120533e-05,0.29201979969323993
2.25,1.4509577985642028e-05,0.29159417162247286
4.5,1.4489328138163522e-05,0.29116854355170574
6.75,1.4469078290685017e-05,0.29074291548093867
9.0,1.4448828443206511e-05,0.2903172874101716
11.25,1.4428578595728007e-05,0.2898916593394045
13.5,1.44083287482495e-05,0.2894660312686374
15.75,1.4388078900770996e-05,0.28904040319787033
18.0,1.436782905329249e-05,0.2886147751271032
20.25,1.4347579205813984e-05,0.28818914705633614
22.5,1.432732935833548e-05,0.287763518985569
24.75,1.4307079510856973e-05,0.28733789091480194
27.0,1.4286829663378469e-05,0.28691226284403487
29.25,1.4266579815899962e-05,0.28648663477326775
31.5,1.4246329968421458e-05,0.2860610067025007
33.75,1.4226080120942952e-05,0.2856353786317336
36.0,1.4205830273464447e-05,0.2852097505609665
38.25,1.4185580425985941e-05,0.2847841224901994
40.5,1.4165330578507437e-05,0.2843584944194323
42.75,1.414508073102893e-05,0.2839328663486652
45.0,1.4124830883550426e-05,0.28350723827789814
47.25,1.410458103607192e-05,0.283081610207131
49.5,1.4084331188593414e-05,0.28265598213636395
51.75,1.4064081341114909e-05,0.2822303540655968
54.0,1.4043831493636403e-05,0.28180472599482975
56.25,1.4023581646157898e-05,0.2813790979240627
58.5,1.4003331798679392e-05,0.28095346985329556
60.75,1.3983081951200888e-05,0.2805278417825285
63.0,1.3962832103722382e-05,0.2801022137117614
65.25,1.3942582256243877e-05,0.2796765856409943
67.5,1.392233240876537e-05,0.2792509575702272
69.75,1.3902082561286866e-05,0.2788253294994601
72.0,1.388183271380836e-05,0.278399701428693
74.25,1.3861582866329856e-05,0.27797407335792595
76.5,1.384133301885135e-05,0.27754844528715883
78.75,1.3821083171372843e-05,0.27712281721639176
81.0,1.3800833323894339e-05,0.27669718914562463
83.25,1.3780583476415833e-05,0.27627156107485756
85.5,1.3760333628937328e-05,0.2758459330040905
87.75,1.3740083781458822e-05,0.27542030493332337
90.0,1.25e-05,0.25059
120.0,1.55e-05,0.31034
150.0,1.26e-05,0.25216
180.0,1.28e-05,0.25553
210.0,1.25e-05,0.24962
240.0,1.26e-05,0.25166
270.0,1.3e-05,0.25939
300.0,1.26e-05,0.25134
330.0,1.3e-05,0.26088
360.0,1.33e-05,0.26565
390.0,1.27e-05,0.25366
420.0,1.32e-05,0.26429
450.0,1.28e-05,0.25658
480.0,1.29e-05,0.2577
510.0,1.31e-05,0.26234
540.0,1.22e-05,0.24465
570.0,1.24e-05,0.2485
600.0,1.29e-05,0.25809
630.0,1.28e-05,0.25617
660.0,1.3e-05,0.25977
690.0,1.3e-05,0.25935
720.0,1.3e-05,0.26087
750.0,1.28e-05,0.25603
780.0,1.34e-05,0.26883
810.0,1.24e-05,0.24788
840.0,1.29e-05,0.25737
870.0,1.2e-05,0.24077
900.0,1.31e-05,0.26165
930.0,1.3e-05,0.26004
960.0,1.3e-05,0.26048
990.0,1.27e-05,0.25455
1020.0,1.25e-05,0.25038
1050.0,1.24e-05,0.24865
1080.0,1.26e-05,0.25273
1110.0,1.29e-05,0.25832
1140.0,1.22e-05,0.24475
1170.0,1.24e-05,0.24823
1200.0,1.21e-05,0.2426
1230.0,1.2e-05,0.23995
1260.0,1.15e-05,0.22988
1290.0,1.22e-05,0.24434
1320.0,1.22e-05,0.24367
1350.0,1.21e-05,0.24153
1380.0,1.2e-05,0.24021
1410.0,1.27e-05,0.25315
1440.0,1.29e-05,0.2571
1470.0,1.19e-05,0.23814
1500.0,1.23e-05,0.24569
1530.0,1.12e-05,0.22487
1560.0,1.22e-05,0.24327
1590.0,1.27e-05,0.25406
1620.0,1.24e-05,0.24892
1650.0,1.22e-05,0.24394
1680.0,1.23e-05,0.24544
1710.0,1.22e-05,0.24306
1740.0,1.17e-05,0.23492
1770.0,1.21e-05,0.24151
1800.0,1.16e-05,0.23177
1830.0,1.24e-05,0.2482
1860.0,1.13e-05,0.22566
1890.0,1.24e-05,0.24781
1920.0,1.21e-05,0.24241
1950.0,0.0031779,0.24301
1980.0,1.19e-05,0.23718
2010.0,1.24e-05,0.24848
2040.0,1.16e-05,0.23183
2070.0,1.18e-05,0.23605
2100.0,0.0014615,0.22894
2130.0,1.21e-05,0.24278
