Test Time,Storage Modulus,Loss Modulus
45.12,10.331,3.4897
75.12,17.519,4.1109
105.1,26.295,4.6972
135.1,35.89,5.2463
165.1,45.739,5.7376
195.1,55.695,6.1617
225.1,65.259,6.5378
255.1,74.523,6.8962
285.1,83.274,7.2112
315.1,91.741,7.5264
345.1,99.432,7.8611
375.1,106.9,8.0368
405.1,113.75,8.1859
435.1,120.1,8.5584
465.1,126.73,8.6169
495.1,132.54,8.8242
525.1,138.29,9.2035
555.1,143.55,9.329
585.1,149,9.5259
615.1,153.55,9.4828
645.1,158.34,9.6521
675.1,162.92,9.8457
705.1,167.33,10.352
735.1,171.58,10.3
765.1,175.99,10.796
795.1,180.19,10.587
825.1,183.83,10.824
855.1,188.95,11.193
885.1,192.85,11.359
915.1,196.69,11.601
945.1,200.41,11.764
975.1,203.97,11.939
1005,207.58,12.125
1035,211.14,12.371
1065,214.7,12.586
1095,218.28,12.783
1125,221.75,13.019
1155,225.02,13.24
1185,228.52,13.453
1215,232.12,13.716
1245,235.7,13.94
1275,239.05,14.162
1305,242.13,14.415
1335,245.22,14.655
1365,248.22,14.948
1395,250.93,15.106
1425,253.67,15.324
1455,256.47,15.58
1485,258.82,15.816
1515,261.72,16.148
1545,264.45,16.381
1575,267.28,16.755
1605,269.4,16.943
1635,272.33,17.368
1665,275.34,17.974
1695,278.22,18.481
1725,281.18,19.225
1755,284.58,20.014
1785,288.14,21.036
1815,291.66,22.325
1845,296.25,24.306
1875,301.85,27.043
1905,309.44,30.937
1935,318.97,35.667
1965,328.87,40.536
1995,344.6,48.224
2025,364.39,57.138
2055,386.43,66.247
2085,408.28,75.212
2115,430.02,84.001
2145,445.63,90.412
2175,467.22,98.979
2205,500.62,112.44
2235,541.58,129.22
2265,575.37,142.76
2295,624.23,160.75
2325,677.11,179.49
2355,736.36,200.46
2385,812.25,225.29
2415,883.8,247.37
2445,975.51,274.74
2475,1054.6,299.41
2505,1155.6,329.76
2535,1243,356.91
2565,1382.8,397.17
2595,1507.8,432.81
2625,1615.5,464.95
2655,1753.4,503.32
2685,1864.6,535.05
2715,2030.6,577.62
2745,2169.2,612.26
2775,2315.1,650.5
2805,2451.5,685.39
2835,2604.2,721.46
2865,2730.1,754.76
2895,2861.3,789.45
2925,3028.3,829.98
2955,3150.7,859.75
2985,3292.4,892.37
3015,3473.1,934.42
3045,3617,971.12
3075,3779.3,1007.3
3105,3946.2,1047.3
3135,4093.5,1086.5
3165,4257.2,1126.9
3195,4425.6,1168.5
3225,4588.4,1208.1
3255,4740.4,1242.4
3285,4903.9,1282.1
3315,5095.5,1328.7
3345,5283.8,1377.4
3375,5467.2,1420.7
3405,5659.3,1473.5
3435,5848.5,1516.1
3465,6025.8,1567.5
3495,6221,1611
3525,6454.3,1673
3555,6633.2,1728.1
3585,6815.4,1769.5
3615,7081.8,1836.3
