Test Time,Storage Modulus,Loss Modulus
42.55,0.20347,0.1007
72.55,0.22606,0.10217
102.5,0.25207,0.11037
132.5,0.29193,0.09762
162.5,0.30322,0.11562
192.5,0.35003,0.1267
222.5,0.36307,0.12427
252.5,0.39461,0.11829
282.5,0.43188,0.14832
312.5,0.41507,0.097954
342.5,0.49679,0.089462
372.5,0.47319,0.13116
402.5,0.51196,0.13575
432.5,0.53756,0.1325
462.5,0.53829,0.1336
492.5,0.54787,0.13286
522.5,0.579,0.14719
552.5,0.60079,0.14421
582.5,0.61095,0.13317
612.5,0.64278,0.13934
642.5,0.6533,0.14174
672.5,0.67302,0.13054
702.5,0.67411,0.15788
732.5,0.70811,0.15225
762.5,0.72021,0.13911
792.5,0.73791,0.1469
822.5,0.74589,0.14044
852.5,0.76647,0.15275
882.5,0.78071,0.14457
912.5,0.79493,0.14866
942.5,0.80729,0.13763
972.5,0.82798,0.15422
1003,0.8275,0.14703
1033,0.84016,0.16193
1063,0.84442,0.16086
1093,0.85828,0.14602
1123,0.88155,0.15853
1153,0.87182,0.15639
1183,0.89803,0.1479
1213,0.91766,0.1596
1243,0.89741,0.14829
1273,0.92422,0.16569
1303,0.91994,0.15379
1333,0.94015,0.15032
1363,0.9439,0.16793
1393,0.93944,0.15617
1423,0.97379,0.1647
1453,0.9692,0.15605
1483,0.97498,0.16631
1513,0.9867,0.16501
1543,0.98759,0.16913
1573,0.99606,0.16871
1603,0.99765,0.16084
1633,1.0238,0.16317
1663,1.0344,0.1654
1693,1.0386,0.17023
1723,1.0337,0.15218
1753,1.0308,0.17788
1783,1.0504,0.1688
1813,1.0699,0.16474
1843,1.0648,0.1618
1873,1.0733,0.17758
1903,1.0883,0.17788
1933,1.1169,0.16555
1963,1.1252,0.17304
1993,1.1222,0.18201
2023,1.1371,0.15951
2053,1.1328,0.16738
2083,1.1417,0.17645
2113,1.1587,0.18993
2143,1.1533,0.18284
2173,1.154,0.1755
2203,1.188,0.18583
2233,1.1788,0.18698
2263,1.1805,0.18492
2293,1.2093,0.18025
2323,1.2158,0.2016
2353,1.2267,0.18967
2383,1.2268,0.19078
2413,1.2434,0.16997
2443,1.2358,0.19365
2473,1.248,0.18466
2503,1.2481,0.18951
2533,1.2845,0.19185
2563,1.2853,0.18935
2593,1.2737,0.18791
2623,1.3014,0.18955
2653,1.3137,0.20188
2683,1.3262,0.18637
2713,1.3212,0.18918
2743,1.3261,0.19445
2773,1.3603,0.18604
2803,1.3452,0.19924
2833,1.362,0.20815
2863,1.3619,0.1949
2893,1.3687,0.21011
2923,1.3805,0.21278
2953,1.3762,0.22
2983,1.4055,0.20779
3013,1.3929,0.2036
3043,1.4143,0.19923
3073,1.4155,0.21359
3103,1.4422,0.21697
3133,1.4528,0.2137
3163,1.4577,0.22472
3193,1.4664,0.21079
3223,1.4752,0.22328
3253,1.4729,0.20534
3283,1.4903,0.21627
3313,1.5016,0.21817
3343,1.5085,0.22691
3373,1.5255,0.22553
3403,1.5351,0.23738
3433,1.542,0.23804
3463,1.542,0.23694
3493,1.5575,0.23128
3523,1.5695,0.22492
3553,1.5803,0.22506
3583,1.5948,0.24293
3613,1.6037,0.2377
