GEL,EDC,NHS,d,e,f,Tgel
5,6.7,6.7,224.45,18.4,6.133333333,2.476666667
5,6.7,6.7,224.45,18.4,6.133333333,23.95
5,6.7,6.7,224.45,18.4,6.133333333,5.476666667
8.3,6.7,6.7,372.587,21.7,7.233333333,10.00166667
8.3,6.7,6.7,372.587,21.7,7.233333333,25.98333333
8.3,6.7,6.7,372.587,21.7,7.233333333,27.48333333
5,13.3,13.3,884.45,31.6,10.53333333,20.5
5,13.3,13.3,884.45,31.6,10.53333333,1.975
5,13.3,13.3,884.45,31.6,10.53333333,5.123333333
6.7,10,10,670,26.7,8.9,7.006666667
6.7,10,10,670,26.7,8.9,8.471666667
6.7,10,10,670,26.7,8.9,8.496666667
6.7,13.3,13.3,1185.163,33.3,11.1,6.995
6.7,13.3,13.3,1185.163,33.3,11.1,24.96666667
8.3,10,10,830,28.3,9.433333333,10.475
8.3,10,10,830,28.3,9.433333333,12.47333333
8.3,10,10,830,28.3,9.433333333,16.5
8.3,13.3,13.3,1468.187,34.9,11.63333333,8.255
8.3,13.3,13.3,1468.187,34.9,11.63333333,4.976666667
8.3,13.3,13.3,1468.187,34.9,11.63333333,13.84
5,13.3,6.7,445.55,25,8.333333333,10.48333333
5,13.3,6.7,445.55,25,8.333333333,10.48333333
5,13.3,6.7,445.55,25,8.333333333,2.02
5,13.3,6.7,445.55,25,8.333333333,5.468333333
6.7,13.3,6.7,597.037,26.7,8.9,2.453333333
6.7,13.3,6.7,597.037,26.7,8.9,1.971666667
6.7,13.3,6.7,597.037,26.7,8.9,11.955
8.3,13.3,6.7,739.613,28.3,9.433333333,15.47
8.3,13.3,6.7,739.613,28.3,9.433333333,17
8.3,13.3,6.7,739.613,28.3,9.433333333,18.03333333
5,20,10,1000,35,11.66666667,7.958333333
5,20,10,1000,35,11.66666667,3.965
5,26.7,13.3,1775.55,45,15,2.985
6.7,20,10,1340,36.7,12.23333333,0.987
6.7,20,10,1340,36.7,12.23333333,1.471666667
6.7,20,10,1340,36.7,12.23333333,0.978833333
6.7,26.7,13.3,2379.237,46.7,15.56666667,9.98
6.7,26.7,13.3,2379.237,46.7,15.56666667,4.045
6.7,26.7,13.3,2379.237,46.7,15.56666667,5.536666667
8.3,20,10,1660,38.3,12.76666667,2.093333333
8.3,20,10,1660,38.3,12.76666667,1.011666667
8.3,26.7,6.7,1484.787,41.7,13.9,0
5,40,10,2000,55,18.33333333,0
5,40,10,2000,55,18.33333333,0
5,53.3,13.3,3544.45,71.6,23.86666667,0
5,53.3,13.3,3544.45,71.6,23.86666667,0
5,53.3,13.3,3544.45,71.6,23.86666667,0
6.7,40,10,2680,56.7,18.9,0
6.7,40,10,2680,56.7,18.9,0
6.7,53.3,13.3,4749.563,73.3,24.43333333,0
6.7,53.3,13.3,4749.563,73.3,24.43333333,0
6.7,53.3,13.3,4749.563,73.3,24.43333333,0
8.3,40,10,3320,58.3,19.43333333,1.033666667
