GEL,EDC,NHS,d,e,f,Tgel
6.7,6.7,6.7,300.763,20.1,6.7,60
6.7,6.7,6.7,300.763,20.1,6.7,60
6.7,6.7,6.7,300.763,20.1,6.7,60
5,10,10,500,25,8.333333333,60
5,10,10,500,25,8.333333333,60
5,10,10,500,25,8.333333333,60
6.7,13.3,13.3,1185.163,33.3,11.1,0
5,13.3,6.7,445.55,25,8.333333333,0
5,20,10,1000,35,11.66666667,0
5,26.7,13.3,1775.55,45,15,0
5,26.7,13.3,1775.55,45,15,0
8.3,20,10,1660,38.3,12.76666667,0
8.3,26.7,13.3,2947.413,48.3,16.1,0
8.3,26.7,13.3,2947.413,48.3,16.1,0
8.3,26.7,13.3,2947.413,48.3,16.1,0
5,26.7,6.7,894.45,38.4,12.8,0
5,26.7,6.7,894.45,38.4,12.8,0
5,26.7,6.7,894.45,38.4,12.8,0
6.7,26.7,6.7,1198.563,40.1,13.36666667,0
6.7,26.7,6.7,1198.563,40.1,13.36666667,0
6.7,26.7,6.7,1198.563,40.1,13.36666667,0
8.3,26.7,6.7,1484.787,41.7,13.9,0
5,40,10,2000,55,18.33333333,0
6.7,40,10,2680,56.7,18.9,0
8.3,40,10,3320,58.3,19.43333333,0
8.3,40,10,3320,58.3,19.43333333,0
8.3,53.3,13.3,5883.787,74.9,24.96666667,0
8.3,53.3,13.3,5883.787,74.9,24.96666667,0
8.3,53.3,13.3,5883.787,74.9,24.96666667,0
8.3,53.3,13.3,5883.787,74.9,24.96666667,0
