SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N,stress,strain
70Compression,1-Preload,0.000,4.436,-0.002,-0.020,-0.25464790894703254,-0.00045085662759242564
70Compression,1-Compress,0.010,4.434,-0,-0.020,-0.25464790894703254,-0.0
70Compression,1-Compress,1.010,4.383,0.051,-0.003,-0.03819718634205488,0.011496844003606852
70Compression,1-Compress,2.010,4.331,0.103,0.029,0.3692394679731972,0.023219116321009918
70Compression,1-Compress,3.010,4.28,0.154,0.029,0.3692394679731972,0.034715960324616775
70Compression,1-Compress,4.010,4.228,0.206,0.013,0.16552114081557112,0.046438232642019836
70Compression,1-Compress,5.010,4.177,0.257,0.029,0.3692394679731972,0.05793507664562669
70Compression,1-Compress,6.010,4.125,0.309,0.029,0.3692394679731972,0.06965734896302976
70Compression,1-Compress,7.010,4.072,0.362,0.029,0.3692394679731972,0.08160504959422904
70Compression,1-Compress,8.010,4.02,0.414,0.029,0.3692394679731972,0.0933273219116321
70Compression,1-Compress,9.010,3.969,0.465,0.046,0.5856901905781748,0.10482416591523896
70Compression,1-Compress,10.010,3.917,0.517,0.029,0.3692394679731972,0.11654643823264202
70Compression,1-Compress,11.010,3.866,0.568,0.029,0.3692394679731972,0.12804328223624886
70Compression,1-Compress,12.010,3.814,0.62,0.062,0.7894085177358009,0.13976555455365194
70Compression,1-Compress,13.010,3.763,0.671,0.062,0.7894085177358009,0.15126239855725881
70Compression,1-Compress,14.010,3.711,0.723,0.046,0.5856901905781748,0.16298467087466184
70Compression,1-Compress,15.010,3.658,0.776,0.079,1.0058592403407784,0.17493237150586113
70Compression,1-Compress,16.010,3.606,0.828,0.062,0.7894085177358009,0.1866546438232642
70Compression,1-Compress,17.010,3.555,0.879,0.062,0.7894085177358009,0.19815148782687106
70Compression,1-Compress,18.010,3.503,0.931,0.062,0.7894085177358009,0.20987376014427414
70Compression,1-Compress,19.010,3.452,0.982,0.095,1.2095775674984044,0.22137060414788098
70Compression,1-Compress,20.010,3.4,1.034,0.079,1.0058592403407784,0.23309287646528404
70Compression,1-Compress,21.010,3.348,1.086,0.062,0.7894085177358009,0.24481514878268712
70Compression,1-Compress,22.010,3.297,1.137,0.095,1.2095775674984044,0.25631199278629396
70Compression,1-Compress,23.010,3.245,1.189,0.095,1.2095775674984044,0.26803426510369704
70Compression,1-Compress,24.010,3.192,1.242,0.095,1.2095775674984044,0.2799819657348963
70Compression,1-Compress,25.010,3.141,1.293,0.111,1.4132958946560306,0.29147880973850315
70Compression,1-Compress,26.010,3.089,1.345,0.128,1.6297466172610082,0.30320108205590623
70Compression,1-Compress,27.010,3.038,1.396,0.111,1.4132958946560306,0.3146979260595131
70Compression,1-Compress,28.010,2.986,1.448,0.111,1.4132958946560306,0.32642019837691616
70Compression,1-Compress,29.010,2.934,1.5,0.144,1.8334649444186342,0.3381424706943192
70Compression,1-Compress,30.010,2.883,1.551,0.144,1.8334649444186342,0.34963931469792603
70Compression,1-Compress,31.010,2.831,1.603,0.144,1.8334649444186342,0.3613615870153291
70Compression,1-Compress,32.010,2.778,1.656,0.177,2.253633994181238,0.3733092876465284
70Compression,1-Compress,33.010,2.727,1.707,0.177,2.253633994181238,0.3848061316501353
70Compression,1-Compress,34.010,2.675,1.759,0.177,2.253633994181238,0.3965284039675383
70Compression,1-Compress,35.010,2.623,1.811,0.177,2.253633994181238,0.4082506762849414
70Compression,1-Compress,36.010,2.572,1.862,0.210,2.6738030439438414,0.4197475202885483
70Compression,1-Compress,37.010,2.52,1.914,0.210,2.6738030439438414,0.4314697926059513
70Compression,1-Compress,38.010,2.469,1.965,0.193,2.4573523213388637,0.4429666366095582
70Compression,1-Compress,39.010,2.417,2.017,0.242,3.0812396982590937,0.45468890892696123
70Compression,1-Compress,40.010,2.366,2.068,0.259,3.2976904208640714,0.4661857529305681
70Compression,1-Compress,41.010,2.313,2.121,0.259,3.2976904208640714,0.47813345356176734
70Compression,1-Compress,42.010,2.261,2.173,0.308,3.9215777977843014,0.4898557258791704
70Compression,1-Compress,43.010,2.209,2.225,0.324,4.1252961249419275,0.5015779981965736
70Compression,1-Compress,44.010,2.158,2.276,0.341,4.341746847546904,0.5130748422001803
70Compression,1-Compress,45.010,2.106,2.328,0.373,4.749183501862157,0.5247971145175834
70Compression,1-Compress,46.010,2.055,2.379,0.406,5.169352551624761,0.5362939585211902
70Compression,1-Compress,47.010,2.003,2.431,0.423,5.385803274229738,0.5480162308385933
70Compression,1-Compress,48.010,1.952,2.482,0.455,5.79323992854499,0.5595130748422003
70Compression,1-Compress,49.010,1.898,2.536,0.521,6.633578028070198,0.5716862037871957
70Compression,1-Compress,50.010,1.847,2.587,0.537,6.837296355227824,0.5831830477908025
70Compression,1-Compress,51.010,1.795,2.639,0.586,7.4611837321480525,0.5949053201082055
70Compression,1-Compress,52.010,1.744,2.69,0.668,8.505240158830887,0.6064021641118125
70Compression,1-Compress,53.010,1.692,2.742,0.717,9.129127535751117,0.6181244364292156
70Compression,1-Compress,54.010,1.641,2.793,0.750,9.54929658551372,0.6296212804328224
70Compression,1-Compress,55.010,1.589,2.845,0.832,10.593353012196552,0.6413435527502255
70Compression,1-Compress,56.010,1.538,2.896,0.914,11.637409438879388,0.6528403967538323
70Compression,1-Compress,57.010,1.486,2.948,0.979,12.465015142957244,0.6645626690712353
70Compression,1-Compress,58.010,1.433,3.001,1.061,13.509071569640076,0.6765103697024346
70Compression,1-Compress,59.010,1.381,3.053,1.209,15.393466095848117,0.6882326420198377
70Compression,1-Recover,60.000,1.331,0.016,1.323,16.8449591768462,0.003606853020739405
up 250mm in 30s,1-Compress,60.010,1.347,-0,1.290,16.4247901270836,-0.0
up 250mm in 30s,1-Compress,61.010,9.644,-8.297,-0.036,-0.45836623610465854,-1.8703787195671777
up 250mm in 30s,1-Compress,62.010,18,-16.653,-0.020,-0.25464790894703254,-3.7540577096483316
up 250mm in 30s,1-Compress,63.010,26.355,-25.008,-0.003,-0.03819718634205488,-5.63751127141569
up 250mm in 30s,1-Compress,64.010,34.711,-33.364,-0.052,-0.6620845632622845,-7.5211902614968436
up 250mm in 30s,1-Compress,65.010,43.067,-41.72,-0.020,-0.25464790894703254,-9.404869251577997
up 250mm in 30s,1-Compress,66.010,51.422,-50.075,-0.003,-0.03819718634205488,-11.288322813345356
up 250mm in 30s,1-Compress,67.010,59.778,-58.431,-0.036,-0.45836623610465854,-13.17200180342651
up 250mm in 30s,1-Compress,68.010,68.133,-66.786,-0.020,-0.25464790894703254,-15.055455365193868
up 250mm in 30s,1-Compress,69.010,76.489,-75.142,-0.003,-0.03819718634205488,-16.939134355275023
up 250mm in 30s,1-Compress,70.010,84.845,-83.498,-0.003,-0.03819718634205488,-18.822813345356177
up 250mm in 30s,1-Compress,71.010,93.2,-91.853,-0.020,-0.25464790894703254,-20.706266907123535
up 250mm in 30s,1-Compress,72.010,101.556,-100.209,-0.003,-0.03819718634205488,-22.58994589720469
up 250mm in 30s,1-Compress,73.010,109.911,-108.564,-0.003,-0.03819718634205488,-24.473399458972047
