SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N,stress,strain
70Compression,1-Compress,0.000,4.222,-0,-0.003,-3.819718634205488e-05,-0.0
70Compression,1-Compress,1.000,4.173,0.049,0.013,0.00016552114081557113,0.011605873993368071
70Compression,1-Compress,2.000,4.123,0.099,-0.003,-3.819718634205488e-05,0.023448602558029368
70Compression,1-Compress,3.000,4.075,0.147,-0.003,-3.819718634205488e-05,0.03481762198010421
70Compression,1-Compress,4.000,4.025,0.197,0.013,0.00016552114081557113,0.046660350544765514
70Compression,1-Compress,5.000,3.977,0.245,0.029,0.0003692394679731972,0.058029369966840355
70Compression,1-Compress,6.000,3.927,0.295,0.013,0.00016552114081557113,0.06987209853150164
70Compression,1-Compress,7.000,3.878,0.344,0.046,0.0005856901905781748,0.08147797252486971
70Compression,1-Compress,8.000,3.828,0.394,0.046,0.0005856901905781748,0.09332070108953103
70Compression,1-Compress,9.000,3.78,0.442,0.029,0.0003692394679731972,0.10468972051160587
70Compression,1-Compress,10.000,3.73,0.492,0.029,0.0003692394679731972,0.11653244907626716
70Compression,1-Compress,11.000,3.681,0.541,0.062,0.0007894085177358009,0.12813832306963524
70Compression,1-Compress,12.000,3.631,0.591,0.046,0.0005856901905781748,0.13998105163429653
70Compression,1-Compress,13.000,3.581,0.641,0.062,0.0007894085177358009,0.15182378019895784
70Compression,1-Compress,14.000,3.533,0.689,0.079,0.0010058592403407785,0.16319279962103267
70Compression,1-Compress,15.000,3.483,0.739,0.079,0.0010058592403407785,0.17503552818569396
70Compression,1-Compress,16.000,3.434,0.788,0.079,0.0010058592403407785,0.18664140217906205
70Compression,1-Compress,17.000,3.384,0.838,0.095,0.0012095775674984045,0.1984841307437233
70Compression,1-Compress,18.000,3.336,0.886,0.095,0.0012095775674984045,0.20985315016579817
70Compression,1-Compress,19.000,3.286,0.936,0.095,0.0012095775674984045,0.22169587873045948
70Compression,1-Compress,20.000,3.238,0.984,0.095,0.0012095775674984045,0.2330648981525343
70Compression,1-Compress,21.000,3.188,1.034,0.128,0.0016297466172610082,0.24490762671719563
70Compression,1-Compress,22.000,3.139,1.083,0.111,0.0014132958946560306,0.25651350071056367
70Compression,1-Compress,23.000,3.089,1.133,0.128,0.0016297466172610082,0.268356229275225
70Compression,1-Compress,24.000,3.041,1.181,0.144,0.0018334649444186342,0.27972524869729987
70Compression,1-Compress,25.000,2.991,1.231,0.160,0.0020371832715762603,0.29156797726196115
70Compression,1-Compress,26.000,2.942,1.28,0.144,0.0018334649444186342,0.3031738512553292
70Compression,1-Compress,27.000,2.892,1.33,0.177,0.002253633994181238,0.31501657981999054
70Compression,1-Compress,28.000,2.842,1.38,0.177,0.002253633994181238,0.32685930838465177
70Compression,1-Compress,29.000,2.794,1.428,0.177,0.002253633994181238,0.3382283278067266
70Compression,1-Compress,30.000,2.744,1.478,0.193,0.002457352321338864,0.3500710563713879
70Compression,1-Compress,31.000,2.695,1.527,0.210,0.0026738030439438414,0.361676930364756
70Compression,1-Compress,32.000,2.645,1.577,0.210,0.0026738030439438414,0.3735196589294173
70Compression,1-Compress,33.000,2.597,1.625,0.226,0.0028775213711014678,0.38488867835149215
70Compression,1-Compress,34.000,2.547,1.675,0.259,0.0032976904208640713,0.39673140691615344
70Compression,1-Compress,35.000,2.498,1.724,0.275,0.0035014087480216977,0.4083372809095215
70Compression,1-Compress,36.000,2.448,1.774,0.275,0.0035014087480216977,0.4201800094741828
70Compression,1-Compress,37.000,2.4,1.822,0.308,0.003921577797784301,0.4315490288962577
70Compression,1-Compress,38.000,2.35,1.872,0.324,0.004125296124941927,0.44339175746091897
70Compression,1-Compress,39.000,2.302,1.92,0.324,0.004125296124941927,0.45476077688299377
70Compression,1-Compress,40.000,2.252,1.97,0.341,0.004341746847546905,0.4666035054476551
70Compression,1-Compress,41.000,2.202,2.02,0.390,0.004965634224467135,0.4784462340123164
70Compression,1-Compress,42.000,2.153,2.069,0.390,0.004965634224467135,0.49005210800568444
70Compression,1-Compress,43.000,2.103,2.119,0.423,0.005385803274229738,0.5018948365703458
70Compression,1-Compress,44.000,2.055,2.167,0.472,0.006009690651149967,0.5132638559924205
70Compression,1-Compress,45.000,2.005,2.217,0.504,0.00641712730546522,0.5251065845570819
70Compression,1-Compress,46.000,1.956,2.266,0.521,0.006633578028070197,0.53671245855045
70Compression,1-Compress,47.000,1.906,2.316,0.586,0.007461183732148053,0.5485551871151112
70Compression,1-Compress,48.000,1.858,2.364,0.619,0.007881352781910657,0.5599242065371861
70Compression,1-Compress,49.000,1.808,2.414,0.652,0.00830152183167326,0.5717669351018474
70Compression,1-Compress,50.000,1.759,2.463,0.701,0.00892540920859349,0.5833728090952155
70Compression,1-Compress,51.000,1.709,2.513,0.766,0.009753014912671346,0.5952155376598768
70Compression,1-Compress,52.000,1.661,2.561,0.799,0.01017318396243395,0.6065845570819516
70Compression,1-Compress,53.000,1.611,2.611,0.865,0.011013522061959158,0.618427285646613
70Compression,1-Compress,54.000,1.563,2.659,0.963,0.012261296815799617,0.6297963050686877
70Compression,1-Compress,55.000,1.513,2.709,1.045,0.01330535324248245,0.6416390336333491
70Compression,1-Compress,56.000,1.463,2.759,1.110,0.014132958946560307,0.6534817621980104
70Compression,1-Compress,57.000,1.414,2.808,1.225,0.015597184423005743,0.6650876361913783
70Compression,1-Compress,58.000,1.364,2.858,1.323,0.0168449591768462,0.6769303647560397
70Compression,1-Compress,59.000,1.316,2.906,1.422,0.018105466326134013,0.6882993841781146
