SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N,stress,strain
70Compression,1-Compress,0,4.25,0,-0.003,3.82E-05,0
70Compression,1-Compress,1,4.202,0.048,0.013,0.000165521,0.011294118
70Compression,1-Compress,2,4.152,0.098,0.013,0.000165521,0.023058824
70Compression,1-Compress,3,4.102,0.148,-0.003,3.82E-05,0.034823529
70Compression,1-Compress,4,4.052,0.198,-0.003,3.82E-05,0.046588235
70Compression,1-Compress,5,4.003,0.247,0.029,0.000369239,0.058117647
70Compression,1-Compress,6,3.953,0.297,0.013,0.000165521,0.069882353
70Compression,1-Compress,7,3.903,0.347,0.013,0.000165521,0.081647059
70Compression,1-Compress,8,3.853,0.397,0.029,0.000369239,0.093411765
70Compression,1-Compress,9,3.805,0.445,0.029,0.000369239,0.104705882
70Compression,1-Compress,10,3.755,0.495,0.029,0.000369239,0.116470588
70Compression,1-Compress,11,3.705,0.545,0.029,0.000369239,0.128235294
70Compression,1-Compress,12,3.655,0.595,0.046,0.00058569,0.14
70Compression,1-Compress,13,3.606,0.644,0.029,0.000369239,0.151529412
70Compression,1-Compress,14,3.556,0.694,0.029,0.000369239,0.163294118
70Compression,1-Compress,15,3.506,0.744,0.046,0.00058569,0.175058824
70Compression,1-Compress,16,3.458,0.792,0.046,0.00058569,0.186352941
70Compression,1-Compress,17,3.408,0.842,0.029,0.000369239,0.198117647
70Compression,1-Compress,18,3.358,0.892,0.062,0.000789409,0.209882353
70Compression,1-Compress,19,3.308,0.942,0.046,0.00058569,0.221647059
70Compression,1-Compress,20,3.259,0.991,0.046,0.00058569,0.233176471
70Compression,1-Compress,21,3.209,1.041,0.062,0.000789409,0.244941176
70Compression,1-Compress,22,3.159,1.091,0.062,0.000789409,0.256705882
70Compression,1-Compress,23,3.109,1.141,0.062,0.000789409,0.268470588
70Compression,1-Compress,24,3.061,1.189,0.062,0.000789409,0.279764706
70Compression,1-Compress,25,3.011,1.239,0.079,0.001005859,0.291529412
70Compression,1-Compress,26,2.961,1.289,0.062,0.000789409,0.303294118
70Compression,1-Compress,27,2.911,1.339,0.079,0.001005859,0.315058824
70Compression,1-Compress,28,2.863,1.387,0.095,0.001209578,0.326352941
70Compression,1-Compress,29,2.813,1.437,0.111,0.001413296,0.338117647
70Compression,1-Compress,30,2.763,1.487,0.095,0.001209578,0.349882353
70Compression,1-Compress,31,2.714,1.536,0.111,0.001413296,0.361411765
70Compression,1-Compress,32,2.664,1.586,0.128,0.001629747,0.373176471
70Compression,1-Compress,33,2.614,1.636,0.111,0.001413296,0.384941176
70Compression,1-Compress,34,2.564,1.686,0.128,0.001629747,0.396705882
70Compression,1-Compress,35,2.516,1.734,0.16,0.002037183,0.408
70Compression,1-Compress,36,2.466,1.784,0.144,0.001833465,0.419764706
70Compression,1-Compress,37,2.416,1.834,0.16,0.002037183,0.431529412
70Compression,1-Compress,38,2.366,1.884,0.193,0.002457352,0.443294118
70Compression,1-Compress,39,2.317,1.933,0.193,0.002457352,0.454823529
70Compression,1-Compress,40,2.267,1.983,0.193,0.002457352,0.466588235
70Compression,1-Compress,41,2.217,2.033,0.226,0.002877521,0.478352941
70Compression,1-Compress,42,2.167,2.083,0.242,0.00308124,0.490117647
70Compression,1-Compress,43,2.119,2.131,0.242,0.00308124,0.501411765
70Compression,1-Compress,44,2.069,2.181,0.259,0.00329769,0.513176471
70Compression,1-Compress,45,2.019,2.231,0.292,0.003717859,0.524941176
70Compression,1-Compress,46,1.969,2.281,0.308,0.003921578,0.536705882
70Compression,1-Compress,47,1.92,2.33,0.324,0.004125296,0.548235294
70Compression,1-Compress,48,1.87,2.38,0.373,0.004749184,0.56
70Compression,1-Compress,49,1.82,2.43,0.39,0.004965634,0.571764706
70Compression,1-Compress,50,1.772,2.478,0.406,0.005169353,0.583058824
70Compression,1-Compress,51,1.722,2.528,0.455,0.00579324,0.594823529
70Compression,1-Compress,52,1.672,2.578,0.504,0.006417127,0.606588235
70Compression,1-Compress,53,1.622,2.628,0.521,0.006633578,0.618352941
70Compression,1-Compress,54,1.573,2.677,0.57,0.007257465,0.629882353
70Compression,1-Compress,55,1.523,2.727,0.635,0.008085071,0.641647059
70Compression,1-Compress,56,1.473,2.777,0.685,0.008721691,0.653411765
70Compression,1-Compress,57,1.423,2.827,0.734,0.009345578,0.665176471
70Compression,1-Compress,58,1.375,2.875,0.832,0.010593353,0.676470588
70Compression,1-Compress,59,1.325,2.925,0.914,0.011637409,0.688235294
