SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N,stress,strain
70Compression,1-Compress,0.000,4.103,-0,-0.007,-8.912676813146139e-05,-0.0
70Compression,1-Compress,1.000,4.056,0.047,0.026,0.00033104228163114227,0.011455032902754084
70Compression,1-Compress,2.000,4.008,0.095,0.026,0.00033104228163114227,0.023153789909822083
70Compression,1-Compress,3.000,3.959,0.144,0.010,0.00012732395447351627,0.035096271021203995
70Compression,1-Compress,4.000,3.913,0.19,0.010,0.00012732395447351627,0.046307579819644167
70Compression,1-Compress,5.000,3.864,0.239,0.026,0.00033104228163114227,0.05825006093102608
70Compression,1-Compress,6.000,3.816,0.287,0.026,0.00033104228163114227,0.06994881793809407
70Compression,1-Compress,7.000,3.769,0.334,0.026,0.00033104228163114227,0.08140385084084817
70Compression,1-Compress,8.000,3.72,0.383,0.043,0.0005474930042361199,0.09334633195223008
70Compression,1-Compress,9.000,3.673,0.43,0.043,0.0005474930042361199,0.10480136485498416
70Compression,1-Compress,10.000,3.625,0.478,0.026,0.00033104228163114227,0.11650012186205216
70Compression,1-Compress,11.000,3.577,0.526,0.043,0.0005474930042361199,0.12819887886912018
70Compression,1-Compress,12.000,3.53,0.573,0.059,0.0007512113313937459,0.13965391177187422
70Compression,1-Compress,13.000,3.481,0.622,0.043,0.0005474930042361199,0.15159639288325616
70Compression,1-Compress,14.000,3.433,0.67,0.043,0.0005474930042361199,0.16329514989032418
70Compression,1-Compress,15.000,3.386,0.717,0.075,0.0009549296585513719,0.17475018279307825
70Compression,1-Compress,16.000,3.338,0.765,0.043,0.0005474930042361199,0.18644893980014624
70Compression,1-Compress,17.000,3.289,0.814,0.059,0.0007512113313937459,0.19839142091152814
70Compression,1-Compress,18.000,3.242,0.861,0.075,0.0009549296585513719,0.20984645381428224
70Compression,1-Compress,19.000,3.194,0.909,0.092,0.0011713803811563496,0.22154521082135026
70Compression,1-Compress,20.000,3.145,0.958,0.075,0.0009549296585513719,0.23348769193273214
70Compression,1-Compress,21.000,3.098,1.005,0.092,0.0011713803811563496,0.2449427248354862
70Compression,1-Compress,22.000,3.05,1.053,0.092,0.0011713803811563496,0.25664148184255425
70Compression,1-Compress,23.000,3.002,1.101,0.092,0.0011713803811563496,0.2683402388496222
70Compression,1-Compress,24.000,2.955,1.148,0.092,0.0011713803811563496,0.2797952717523763
70Compression,1-Compress,25.000,2.906,1.197,0.124,0.0015788170354716017,0.29173775286375825
70Compression,1-Compress,26.000,2.858,1.245,0.108,0.0013750987083139758,0.30343650987082627
70Compression,1-Compress,27.000,2.811,1.292,0.124,0.0015788170354716017,0.31489154277358034
70Compression,1-Compress,28.000,2.763,1.34,0.141,0.0017952677580765793,0.32659029978064835
70Compression,1-Compress,29.000,2.714,1.389,0.157,0.0019989860852342054,0.33853278089203026
70Compression,1-Compress,30.000,2.667,1.436,0.141,0.0017952677580765793,0.34998781379478433
70Compression,1-Compress,31.000,2.619,1.484,0.190,0.002419155134996809,0.36168657080185235
70Compression,1-Compress,32.000,2.572,1.531,0.190,0.002419155134996809,0.37314160370460636
70Compression,1-Compress,33.000,2.523,1.58,0.190,0.002419155134996809,0.3850840848159883
70Compression,1-Compress,34.000,2.475,1.628,0.206,0.002622873462154435,0.3967828418230563
70Compression,1-Compress,35.000,2.428,1.675,0.239,0.003043042511917039,0.4082378747258104
70Compression,1-Compress,36.000,2.38,1.723,0.239,0.003043042511917039,0.41993663173287843
70Compression,1-Compress,37.000,2.331,1.772,0.255,0.003246760839074665,0.43187911284426034
70Compression,1-Compress,38.000,2.284,1.819,0.288,0.0036669298888372683,0.4433341457470144
70Compression,1-Compress,39.000,2.236,1.867,0.321,0.004087098938599872,0.4550329027540824
70Compression,1-Compress,40.000,2.188,1.915,0.321,0.004087098938599872,0.46673165976115044
70Compression,1-Compress,41.000,2.141,1.962,0.354,0.004507267988362476,0.47818669266390446
70Compression,1-Compress,42.000,2.092,2.011,0.370,0.004710986315520102,0.4901291737752864
70Compression,1-Compress,43.000,2.044,2.059,0.386,0.004914704642677728,0.5018279307823544
70Compression,1-Compress,44.000,1.997,2.106,0.419,0.005334873692440331,0.5132829636851085
70Compression,1-Compress,45.000,1.948,2.155,0.468,0.0059587610693605615,0.5252254447964904
70Compression,1-Compress,46.000,1.9,2.203,0.485,0.006175211791965539,0.5369242018035584
70Compression,1-Compress,47.000,1.853,2.25,0.518,0.0065953808417281426,0.5483792347063124
70Compression,1-Compress,48.000,1.805,2.298,0.583,0.007422986545805998,0.5600779917133805
70Compression,1-Compress,49.000,1.756,2.347,0.649,0.008263324645331206,0.5720204728247624
70Compression,1-Compress,50.000,1.709,2.394,0.681,0.008670761299646458,0.5834755057275165
70Compression,1-Compress,51.000,1.661,2.442,0.747,0.009511099399171665,0.5951742627345845
70Compression,1-Compress,52.000,1.614,2.489,0.796,0.010134986776091896,0.6066292956373386
70Compression,1-Compress,53.000,1.566,2.537,0.861,0.010962592480169751,0.6183280526444066
70Compression,1-Compress,54.000,1.517,2.586,0.943,0.012006648906852583,0.6302705337557885
70Compression,1-Compress,55.000,1.47,2.633,1.074,0.013674592710455648,0.6417255666585425
70Compression,1-Compress,56.000,1.422,2.681,1.156,0.01471864913713848,0.6534243236656105
70Compression,1-Compress,57.000,1.373,2.73,1.271,0.016182874613583916,0.6653668047769925
70Compression,1-Compress,58.000,1.327,2.776,1.418,0.018054536744344606,0.6765781135754326
70Compression,1-Compress,59.000,1.278,2.825,1.566,0.01993893127055265,0.6885205946868146
