Shear Rate [1/s],13.1,13.2,,Avg,SD
0.0268,354.69,515.07,,434.88,80.19
0.0372,252.11,350.65,,301.38,49.27
0.0517,239.92,328.45,,284.185,44.265
0.0719,199.77,315.96,,257.865,58.095
0.0999,136.55,255.79,,196.17,59.62
0.139,108.25,241.12,,174.685,66.435
0.193,84.361,225.66,,155.0105,70.6495
0.269,65.858,182.04,,123.949,58.091
0.373,54.849,83.721,,69.285,14.436
0.518,50.252,75.261,,62.7565,12.5045
0.72,44.791,84.084,,64.4375,19.6465
1,41.554,70.957,,56.2555,14.7015
1.39,38.949,56.655,,47.802,8.853
1.93,35.668,52.612,,44.14,8.472
2.68,33.277,53.932,,43.6045,10.3275
3.73,33.102,46.585,,39.8435,6.7415
5.18,31.525,36.829,,34.177,2.652
7.2,27.57,51.861,,39.7155,12.1455
10,27.206,28.99,,28.098,0.892
13.9,26.308,27.568,,26.938,0.63
19.3,25.538,27.707,,26.6225,1.0845
26.8,24.904,26.902,,25.903,0.999
37.3,24.676,26.573,,25.6245,0.9485
51.8,24.53,24.351,,24.4405,0.0895
72,24.329,23.689,,24.009,0.32
100,24.18,23.388,,23.784,0.396
139,23.876,22.666,,23.271,0.605
193,23.527,22.089,,22.808,0.719
268,23.116,21.697,,22.4065,0.7095
373,22.77,21.398,,22.084,0.686
518,22.451,21.149,,21.8,0.651
720,22.318,20.791,,21.5545,0.7635
1000,22.153,19.977,,21.065,1.088
