Shear Rate [1/s],24.1,24.2,24.3,Avg,SD
0.0268,110.62,3482.5,1647.5,1746.873333,1378.356504
0.0372,89.111,2975.3,1674.1,1579.503667,1180.178824
0.0517,82.448,1761.1,1631.9,1158.482667,762.6974555
0.0719,60.12,390.32,1412.3,620.9133333,575.6026709
0.0999,65.511,272.3,1436.9,591.5703333,603.6704988
0.139,51.491,214.83,1181,482.4403333,498.4369657
0.193,46.778,162.61,1103.9,437.7626667,473.3979814
0.269,39.667,107.76,1040.9,396.109,456.7827634
0.373,36.163,92.842,888.14,339.0483333,388.9553283
0.518,31.202,99.075,714.81,281.6956667,307.50903
0.72,33.744,109.17,224.39,122.4346667,78.39403832
1,31.397,69.324,102.41,67.71033333,29.01338177
1.39,32.459,53.303,83.187,56.31633333,20.81894377
1.93,31.543,52.011,48.958,44.17066667,9.01567806
2.68,29.979,46.96,42.799,39.91266667,7.226653459
3.73,30.439,44.414,39.877,38.24333333,5.821042652
5.18,30.148,40.495,37.155,35.93266667,4.311664515
7.2,29.604,41.547,35.851,35.66733333,4.877438695
10,28.76,37.711,35.075,33.84866667,3.755708573
13.9,28.815,35.229,34.745,32.92966667,2.916210479
19.3,28.961,34.206,34.598,32.58833333,2.569899652
26.8,29.315,33.383,33.451,32.04966667,1.933900606
37.3,29.37,33.064,33.068,31.834,1.742311874
51.8,29.389,31.891,32.81,31.36333333,1.445598915
72,29.22,31.601,33.068,31.29633333,1.585642316
100,28.913,31.291,32.858,31.02066667,1.621843875
139,28.459,30.923,32.252,30.54466667,1.571424902
193,27.936,30.663,32.244,30.281,1.779355501
268,27.433,30.221,32.223,29.959,1.964265427
373,27.014,29.761,32.452,29.74233333,2.220093441
518,26.746,29.13,30.81,28.89533333,1.667398239
720,26.564,28.94,30.237,28.58033333,1.520910327
1000,26.45,28.971,30.056,28.49233333,1.510551849
