Shear Rate [1/s],GEL25.1,GEL25.2,GEL25.3,Avg,SD
0.00994,382.94,546.49,287.37,405.6000000000001,106.99190093958826
0.0139,276.54,287.74,239.81,268.03,20.471708933713053
0.0193,192.64,296.23,131.39,206.75333333333333,68.03159086450616
0.0268,138.23,185.6,99.323,141.051,35.2788767111426
0.0372,133.72,162.31,73.163,123.06433333333332,37.1658833370367
0.0517,85.182,116.56,63.653,88.46500000000002,21.723585170654193
0.0719,59.984,94.941,53.746,69.557,18.12895939282414
0.0999,47.579,79.382,48.328,58.42966666666667,14.818692122526274
0.139,34.22,64.865,31.465,43.51666666666666,15.137393177896323
0.193,24.843,50.902,24.207,33.31733333333333,12.436947651610057
0.269,16.981,46.359,22.627,28.655666666666665,12.728585607032526
0.373,8.9007,32.263,15.665,18.942899999999998,9.815217322436965
0.518,3.9934,27.575,11.024,14.197466666666665,9.885212277381246
0.72,0.50714,18.372,6.4377,8.438946666666666,7.429313421419835
1.0,3.3393,10.762,6.4886,6.8633,3.0418655339555474
1.39,9.2045,9.0205,11.784,10.003,1.261595484561778
1.93,9.9632,13.391,15.101,12.818399999999999,2.136219445656274
2.68,6.5741,9.3507,9.8161,8.5803,1.4312647367509155
3.73,9.7338,10.724,12.263,10.906933333333333,1.0406125162080688
5.18,11.193,9.2155,11.024,10.4775,0.8950319361155029
7.2,10.001,9.5757,10.496,10.024233333333333,0.37606990780379634
10.0,9.3684,9.0362,9.6646,9.356399999999999,0.25668351459855554
13.9,9.4166,9.4253,10.536,9.792633333333335,0.5256516104375171
19.3,9.358,9.2189,9.9365,9.504466666666668,0.310726893303786
26.8,9.4121,9.1374,9.9617,9.503733333333335,0.3427001831857634
37.3,9.4111,9.1516,9.9879,9.516866666666667,0.3495133410265701
51.8,9.211,9.2202,9.8808,9.437333333333333,0.31360077947748954
72.0,9.2346,9.1407,9.8584,9.411233333333334,0.3185098882121065
100.0,9.2785,9.0936,9.8957,9.422600000000001,0.3429428621019347
139.0,9.2014,9.1459,9.9187,9.421999999999999,0.35195002486148513
193.0,9.1941,9.1138,9.8708,9.3929,0.3395127194475435
268.0,9.1654,9.1335,9.9055,9.401466666666666,0.35664324222144217
373.0,9.1856,9.0886,9.8448,9.373,0.3359550366740562
518.0,9.1905,9.084,9.8424,9.372300000000001,0.3352422706044092
720.0,9.1979,9.105,9.8649,9.389266666666666,0.3384552194243066
1000.0,9.2441,9.104,9.8553,9.401133333333332,0.32619781660145375
