Shear Rate [1/s],X6.7.1,X6.7.2,X6.7.3,Avg,SD
0.00994,259.73,753.56,229.48,414.25666666666666,240.24130873399398
0.0139,260.27,474.61,249.28,328.05333333333334,103.72829068720303
0.0193,228.38,296.97,163.86,229.73666666666668,54.350396707128304
0.0268,118.13,202.63,102.87,141.21,43.875043779655265
0.0372,112.56,142.18,91.622,115.45400000000001,20.741412166645425
0.0517,77.917,118.52,65.974,87.47033333333333,22.490296608883472
0.0719,79.245,83.024,52.798,71.68900000000001,13.446749817954771
0.0999,66.322,69.859,42.088,59.422999999999995,12.342454131978775
0.139,52.596,56.649,32.244,47.163000000000004,10.67829958373523
0.193,44.249,43.195,26.512,37.98533333333334,8.124274832596173
0.269,40.506,33.732,18.752,30.996666666666666,9.089212115958615
0.373,34.356,27.902,13.652,25.30333333333333,8.6498055983293
0.518,28.944,20.987,9.8387,19.923233333333332,7.835892702316834
0.72,24.114,16.024,8.9588,16.3656,6.191797783089066
1.0,23.683,16.022,12.698,17.467666666666666,4.599639140435065
1.39,28.976,21.46,19.657,23.364333333333335,4.035740686526934
1.93,32.316,23.821,20.841,25.659333333333336,4.861653239611216
2.68,27.001,19.661,18.761,21.807666666666666,3.690576588496106
3.73,29.365,23.315,21.412,24.697333333333333,3.390740954750483
5.18,28.074,24.282,21.266,24.540666666666667,2.7853662037313685
7.2,27.482,23.409,19.819,23.569999999999997,3.130477386384809
10.0,26.598,22.381,19.515,22.831333333333333,2.909103221880508
13.9,27.602,22.553,20.081,23.412000000000003,3.1299383380507675
19.3,26.966,22.507,19.477,22.983333333333334,3.0758684771766314
26.8,26.958,22.514,19.533,23.001666666666665,3.0507944684768393
37.3,27.056,22.504,19.528,23.02933333333333,3.0956611930607374
51.8,26.998,22.323,19.356,22.89233333333333,3.1457003812964905
72.0,26.997,22.368,19.37,22.911666666666665,3.137351572407671
100.0,27.06,22.448,19.453,22.987,3.1288446216881183
139.0,27.102,22.4,19.417,22.973,3.163442534117961
193.0,27.047,22.421,19.371,22.94633333333333,3.1556536917447433
268.0,27.069,22.41,19.384,22.954333333333334,3.1609102416164165
373.0,26.995,22.436,19.34,22.923666666666666,3.144107751899664
518.0,26.978,22.435,19.317,22.909999999999997,3.1455735036184853
720.0,26.963,22.441,19.327,22.91033333333333,3.134999131667432
1000.0,26.895,22.471,19.317,22.894333333333332,3.108153721352204
